"Index"	"Country"	"CountryCode"	"Indicator"	"IndicatorCode"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"
167	"Angola"	"614"	"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars"	"BFDA_BP6_USD"	-784870216.626256	273005000	1352005056.9	5714167.48479243	-2349425835.33608	90514469
168	"Angola"	"614"	"Supplementary Items, Total Current + Capital Account, US Dollars"	"BTCC_BP6_USD"	-10266566179.6781	-3084605244.91078	-630241494.903369	7405537615.27952	5139440070.22351	873133751.72065
169	"Angola"	"614"	"Supplementary Items, Reserve Position in the Fund (with Fund Record), US Dollars"	"BFRAIMFFR_BP6_USD"	0	158505940.210686	0	0	-40310.2920212772	-44416.8570896818
170	"Angola"	"614"	"Supplementary Items, Portfolio Investment, Net Incurrence of Liabilities (Excluding Exceptional Financing), US Dollars"	"BFPLXF_BP6_USD"	1492500000	0	0	3.5e+09	3e+09	0
171	"Angola"	"614"	"Supplementary Items, Reserve Assets (with Fund Record), US Dollars"	"BFRAFR_BP6_USD"	-3059154773.25937	370006780.565749	-5006997607.20445	-947719437.902689	966869764.98359	-2818509713.07456
172	"Angola"	"614"	"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Debt Securities, US Dollars"	"BFPAD_BP6_USD"	-37678735.9524653	-49962289.3553066	-5874651.67614021	-43732852.2748593	11340536.2798895	-3393147.11932486
173	"Angola"	"614"	"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars"	"BFPAE_BP6_USD"	1083960719.06251	33328156.6296	14999141.3816346	-109031699.329176	1312754747.53029	-1636969223.50983
174	"Angola"	"614"	"Capital Account, Total, Debit, US Dollars"	"BK_DB_BP6_USD"	0	0	0	0	0	17791.63
175	"Angola"	"614"	"Capital Account, Capital Transfers, Net, US Dollars"	"BKT_BP6_USD"	0	0	0	0	0	0
176	"Angola"	"614"	"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars"	"BFDAE_BP6_USD"	-777568026.992856	273005000	1352005056.9	5714167.48479243	-2349425835.33608	90514469
177	"Angola"	"614"	"Capital Account, Capital Transfers, Credit, US Dollars"	"BKT_CD_BP6_USD"	0	0	0	0	0	0
178	"Angola"	"614"	"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, US Dollars"	"BFDAEO_BP6_USD"	-777568026.992856	273005000	1352005056.9	5714167.48479243	-2349425835.33608	90514469
179	"Angola"	"614"	"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars"	"BXIPID_BP6_USD"	0	0	21003800	3540000	9589800	109939800
180	"Anguilla"	"312"	"Capital Account, Total, Debit, US Dollars"	"BK_DB_BP6_USD"	0	0	9259259.25925926	13919022.4722222	589250	77681.7012024074
181	"Anguilla"	"312"	"Current Account, Goods and Services, Services, Transport, Debit, US Dollars"	"BMSTR_BP6_USD"	22595987.7793641	21816808.393037	20259715.0152632	31176941.331407	30545527.4653984	15490076.8724691
