"","X","Country","Code","Indicator","Icode","X2015","X2016","X2017","X2018","X2019","X2020"
"5312",228647,"Sri Lanka",524,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",759174069.765917,793239419.501634,1888721066.88544,1619851575.4662,-245343903.138703,326574706.756201
"5313",228648,"Sri Lanka",524,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",-759174069.765917,-793239419.501634,-1888721066.88544,-1619851575.4662,245343903.138703,-326574706.756201
"5314",228651,"Sri Lanka",524,"Financial Account, Portfolio Investment, Net Incurrence of Liabilities, Debt Securities, US Dollars","BFPLD_BP6_USD",746567256.185491,968622274.334435,1412855195.5218,133539247.625892,2317448884.21353,-2166357072.62528
"5315",228655,"Sri Lanka",524,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, US Dollars","BFDAEO_BP6_USD",52987324.454558,234655205.222823,54800730.2174648,48262953.5260968,52097685.2383888,7097685.238389
"5316",228808,"St. Kitts and Nevis",361,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFDAE_BP6_USD",765554.074074074,201839.368888889,-1187883.07259259,413703.703703704,1105260.37037037,-1058262.22222222
"5317",228810,"St. Kitts and Nevis",361,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars","BFDA_BP6_USD",-4935065.2962963,-3031698.2237037,5918811.03851852,28518317.4444444,12253829.4814815,2876397.97037037
"5318",228843,"St. Kitts and Nevis",361,"Capital Account, Capital Transfers, Net, US Dollars","BKT_BP6_USD",49912645.6851852,48586612.2959259,44151210.956,52770092.4017185,69986901.8518519,45952992.5925926
"5319",228880,"St. Kitts and Nevis",361,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, US Dollars","BFDAEO_BP6_USD",765554.074074074,201839.368888889,-1187883.07259259,413703.703703704,1105260.37037037,-1058262.22222222
"5320",229027,"St. Kitts and Nevis",361,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",294118.5,52093.1888888889,43706.5444444444,1460858.24074074,1461046.57407407,994646.685185185
"5321",229029,"St. Kitts and Nevis",361,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",77743758.7289974,70971033.8944807,63000940.9367244,65394630.4656548,37976831.1877452,42112532.9279652
