"","X","Country","Code","Indicator","Icode","X2015","X2016","X2017","X2018","X2019","X2020"
"302",400,"Austria",122,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",2.02399e+11,2.07007e+11,2.25372e+11,2.52205e+11,2.47738e+11,2.24734e+11
"303",401,"Austria",122,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",1.88489e+11,1.92378e+11,2.12902e+11,2.38933e+11,2.31992e+11,2.11736e+11
"308",407,"Austria",122,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",14206149189,14288688652,15847805843,17241923195,17971910671,15901996446
"309",408,"Austria",122,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",14581221495,14776228557,16490083893,18233815933,18463235103,16220083391
"318",417,"Austria",122,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",2884699197,16667914162,13235930147,14610245360,17775881062,15764698791
"319",418,"Austria",122,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",1802815527,13266361845,13692607041,15804464168,17159955771,10961641241
"345",445,"Azerbaijan, Rep. of",912,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",1518285000,1095425000,971396000,1223822000,1107970260,1644680000
"346",446,"Azerbaijan, Rep. of",912,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",18446480000,16526981000,17105068000,17705199000,17712459100,15537819000
"347",447,"Azerbaijan, Rep. of",912,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",442682000,307255000,665195000,750227000,438762000,827607000
"348",448,"Azerbaijan, Rep. of",912,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",2274553000,2492823000,2022795000,2934418000,2600976000,1271106000
"351",452,"Azerbaijan, Rep. of",912,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",20030038000,17578801000,19840498000,25484473000,23629741260,15208753000
"352",453,"Azerbaijan, Rep. of",912,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",1009650000,919389000,1048362000,1520870000,1458446100,1301987000
"358",580,"Bangladesh",513,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",34969256094,37662675682,39170435004,44128038982,44961040130,38475972660
"359",581,"Bangladesh",513,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",45575754269,48167978224,56764922840,65585208867,64233645991,56776357566
"365",587,"Bangladesh",513,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",2206809521,2286354184,1945051595,1293130468,1547495482,1882470002
"372",594,"Bangladesh",513,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",5773877083,5405106106,5747729492,5653150385,5685843196,5066458723
"373",595,"Bangladesh",513,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",14752823.64,27705301.59,23294469.09,254046080.1,27639136.93,72624371.03
"378",600,"Bangladesh",513,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",401361515.2,417987433.8,488604340.2,655622568.2,621630551.9,685375451
"386",641,"Belarus, Rep. of",913,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",32854100000,29983700000,36595400000,42267800000,41974900000,37183200000
"387",642,"Belarus, Rep. of",913,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",32721700000,29992500000,36495300000,41338700000,42377900000,35235600000
"395",650,"Belarus, Rep. of",913,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",1269300000,1336900000,1599100000,1.832e+09,1945600000,1763600000
"397",652,"Belarus, Rep. of",913,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",2984500000,2988400000,3520200000,3923400000,4018600000,3677900000
"399",654,"Belarus, Rep. of",913,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",49100000,86200000,106200000,148800000,1.46e+08,126700000
"400",655,"Belarus, Rep. of",913,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",1788800000,1573500000,1650600000,2002300000,1776400000,2232700000
"423",678,"Belgium",124,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",38279438772,41425736334,36198571265,45352963446,43719126652,30354207250
"424",679,"Belgium",124,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",37763191105,41365132663,36013324501,46240495296,45075695512,34721522230
"437",692,"Belgium",124,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",22695906060,22291016757,24418217025,26237923240,25457314342,24972953551
"438",693,"Belgium",124,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",23277586131,24204875589,27001100641,28457563657,26324963424,24161459603
