"","Country","Code","Indicator","Icode","2015","2016","2017","2018","2019","2020"
"145469","Lesotho, Kingdom of",666,"Supplementary Items, Portfolio Investment, Net Incurrence of Liabilities (Excluding Exceptional Financing), US Dollars","BFPLXF_BP6_USD",261620.35640019,228671.138373611,247980.63247082,257473.504763837,231453.396125508,198239.621062805
"145471","Lesotho, Kingdom of",666,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, Long-term, US Dollars","BFOLNLO_L_BP6_USD",-50432.8397879884,-43629.487960848,-48043.5748916103,-48626.6363439489,-44312.5254751502,-6413643.45197846
"146234","Lithuania",946,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, Long-term, US Dollars","BFOLNLO_L_BP6_USD",11178556.1400188,44112432.2521577,747091985.544666,-14629869.0757318,324449386.079271,109513595.156954
"146254","Lithuania",946,"Capital Account, Total, Debit, US Dollars","BK_DB_BP6_USD",3951814.94530315,4005181.96704333,5812104.74434597,2929773.72490846,11509786.9234305,11901600.2684794
"146255","Lithuania",946,"Capital Account, Total, Net, US Dollars","BK_BP6_USD",1268062523.55662,650849963.82919,574546913.049625,778224632.370968,920816812.600912,991334613.855805
"146296","Lithuania",946,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFDAE_BP6_USD",367201185.763773,170829327.837895,352303651.863381,325625093.995707,1507086537.41315,2734157176.55286
"146297","Lithuania",946,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars","BFDA_BP6_USD",356637050.907588,912914801.194853,450903991.591324,1039711946.03674,2161377104.20995,3849491685.49644
"146307","Lithuania",946,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, US Dollars","BFPA_BP6_USD",-250339974.541375,3069150032.24999,3737474005.90916,1439765628.6197,-759780040.890955,-381919157.687018
"146326","Lithuania",946,"Financial Account, Portfolio Investment, Net Incurrence of Liabilities, Debt Securities, US Dollars","BFPLD_BP6_USD",-120979769.229037,-691258554.991789,1933039115.14864,-629012791.206541,1915030197.64448,1264430560.67865
"146348","Lithuania",946,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",148995164.105425,164938305.45313,185342930.44704,322650949.47793,247884596.2224,337212129.344564
"146367","Lithuania",946,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",253992562.328482,176714545.731756,873184707.703184,901522478.955291,2849644917.64336,5152349028.71413
"146392","Lithuania",946,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, US Dollars","BFDLD_BP6_USD",32824209.6353793,170938384.997488,310736213.13974,-57470055.0131876,1693323458.50865,535262871.819481
"146396","Lithuania",946,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, US Dollars","BFOLNLG_BP6_USD",379794452.030318,-36932187.7314069,-11847363.8033324,-46431433.7141014,233089838.591992,1683801219.04144
"146410","Lithuania",946,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, US Dollars","BFDAEO_BP6_USD",279823698.298512,99477097.655106,249491125.320275,144571929.952668,1359769152.94102,2506699086.33012
"146445","Lithuania",946,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",3909647428.1163,4282902187.90824,5523557572.03628,6845651079.82829,7839510807.4826,7806532685.07329
"146457","Lithuania",946,"Financial Account, Other Investment, Loans, Net Acquisition of Financial Assets, US Dollars","BFOLNA_BP6_USD",436267088.245824,41074118.8357552,561808739.460648,112672476.590656,544682217.250004,1531205177.83139
"146537","Lithuania",946,"Capital Account, Total, Credit, US Dollars","BK_CD_BP6_USD",1272014338.50193,654855145.796233,580359017.793971,781154406.095877,932326599.524342,1003236214.12428
"146556","Lithuania",946,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",2553554441.22692,2580322267.53086,3131276383.28861,3558387260.5174,3816935137.71208,3605852073.56398
"146558","Lithuania",946,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, US Dollars","BFOLNLO_BP6_USD",26642168.2756797,113225001.970916,751362540.756293,33465173.3161182,229404453.93344,111490004.876598
"146560","Lithuania",946,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",406436620.305997,76292814.2395089,739515176.95296,-12966260.3979833,462494292.525433,1795291223.91804
"146562","Lithuania",946,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",29830467.9398266,-35218695.4037537,-177706437.492312,125638736.98864,82187924.7245712,-264086046.086651
