"","Index","Country","CountryCode","Indicator","IndicatorCode","2015","2016","2017","2018","2019","2020","S.No"
"1664",1664,NA,"935","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, US Dollars","BFDLD_BP6_USD",-1930091804.95011,3800140736.90051,1568809791.65482,3102263498.68387,1955292890.95126,1642209851.72999,197
"1665",1665,NA,"935","Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",1978191379.07662,2156897026.69537,4822809638.86271,4360162806.8034,5808951033.13265,2363736748.44396,197
"1666",1666,NA,"935","Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",14594039233.0129,15537303073.9317,19526945952.8074,19426494453.4018,20505255344.3559,15844918050.8682,197
"1667",1667,NA,"935","Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",1416904690.11075,4448713026.38094,-1339724000.68781,-1048186948.76954,690642608.676437,2483051340.40884,197
"1668",1668,NA,"935","Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",5527063498.6691,5710343503.01718,6452576907.49845,7506202793.38826,7003560949.28714,6407685330.17337,197
"1669",1669,NA,"935","Capital Account, Capital Transfers, Net, US Dollars","BKT_BP6_USD",4095878843.24301,2144086174.08222,2005492678.23994,999494512.142738,1937123244.30282,2754269548.1206,197
"1670",1670,NA,"935","Supplementary Items, Reserve Position in the Fund (with Fund Record), US Dollars","BFRAIMFFR_BP6_USD",-138404106.648482,-2899497.88321951,-47389716.2089263,155896818.937959,11988234.9858414,130430294.766594,197
"1671",1671,NA,"935","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",-1316186309.19224,-3576154373.62415,656156690.236788,2349090441.43336,-1450352677.06107,-1494016978.06496,197
"1672",1672,NA,"935","Capital Account, Capital Transfers, Credit, US Dollars","BKT_CD_BP6_USD",4107152046.76727,2156772541.56056,2029533129.4306,1026251377.09627,1971756281.98807,2758787069.51041,197
"1673",1673,NA,"935","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, US Dollars","BFOLNLO_BP6_USD",-1560977362.40506,-3490110005.91255,687681798.334757,2196530251.13534,-1001225375.89157,-153473126.85697,197
"1674",1674,NA,"935","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, Other Long-term, US Dollars","BFOLNLG_L_BP6_USD",105380412.381313,-561082083.848666,-350614963.153121,-448722787.178477,-354046364.038803,-114465282.266723,197
"1675",1675,NA,"935","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, US Dollars","BFOLNLG_BP6_USD",105380412.381313,-561082083.848666,-350614963.153121,1434970095.39227,-1527358827.74702,-686225293.513531,197
"1676",1676,NA,"935","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, Long-term, US Dollars","BFOLNLO_L_BP6_USD",-2142398882.52703,-4377433470.96092,348521094.603591,-746642400.97116,644194219.968177,-23067683.7593174,197
"1677",1677,NA,"935","Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",14287992353.7286,22983107210.9459,49369837967.437,2219593374.59358,4783176798.64741,2042084917.95745,197
"1678",1678,NA,"935","Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",4857173531.15874,5594715127.35999,4976051879.78929,1825011296.52405,1960344915.35379,7832240963.67604,197
"1679",1679,NA,"935","Financial Account, Portfolio Investment, Net Incurrence of Liabilities, Debt Securities, US Dollars","BFPLD_BP6_USD",9432535981.42963,7335966549.20252,12051789723.5008,-1901799512.04481,4606084182.90035,7941410963.37357,197
"1680",1680,NA,"935","Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",140293741137.333,140319408010.274,156979845970.984,176775093274.284,171429153060.118,156128662723.706,197
"1681",1681,NA,"935","Capital Account, Total, Net, US Dollars","BK_BP6_USD",4011916257.3706,2132236219.2223,2015476378.9039,565183326.924707,1062269523.30964,2865116290.60305,197
"1682",1682,NA,"935","Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",151446071130.768,155290037003.497,173235013109.521,191693669275.359,186544809546.135,172837271875.211,197
"1683",1683,NA,"935","Financial Account, Other Investment, Loans, Net Acquisition of Financial Assets, US Dollars","BFOLNA_BP6_USD",100718380.918508,872558652.756787,-683527908.830303,1300901070.82553,-759666777.716655,989122103.634504,197
"1684",1684,NA,"935","Capital Account, Total, Debit, US Dollars","BK_DB_BP6_USD",253651817.774481,192215869.772076,749559104.310664,2214292115.58679,3470127683.03389,4294540660.43566,197
"1685",1685,NA,"935","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, US Dollars","BFDAEO_BP6_USD",860107230.811331,2164324285.14172,2223416895.63186,3051834231.75789,1527913430.49671,512924118.01528,197
"1686",1686,NA,"935","Capital Account, Total, Credit, US Dollars","BK_CD_BP6_USD",4265568075.14508,2324492827.72332,2765076904.80349,2779473020.6732,4532397206.34352,7159785333.92465,197
"1687",1687,NA,"935","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars","BFDA_BP6_USD",3726148788.79916,3139202221.30692,9400271878.68677,6079923725.38484,4776298838.70575,2087297238.8459,197
"1688",1688,NA,"935","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFDAE_BP6_USD",1831992145.96388,3770953364.76608,6376728536.39427,6345145809.98868,4956500351.94577,1093747928.56659,197
"1689",1689,NA,"935","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Debt Securities, US Dollars","BFPAD_BP6_USD",1190249483.19983,439088554.906655,166658930.978585,-1364623537.57814,-618827142.771305,441437415.00221,197
"1690",1690,NA,"935","Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",4857132460.02354,5594835687.28945,4976097786.44573,1824871122.23933,1960343990.18955,7832372363.17313,197
"1691",1691,"Denmark","128","Financial Account, Other Investment, Loans, Net Acquisition of Financial Assets, US Dollars","BFOLNA_BP6_USD",-5221888088.45437,23622137208.9854,27616921157.786,-35438252936.378,5958296025.85365,-6041614704.463,53
"1692",1692,NA,"128","Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",13217241828.4112,12799101881.9643,14058735762.0074,16275655024.2304,16005090974.7589,14889946491.1572,197
"1693",1693,NA,"128","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",-975325852.123537,-578445183.03284,-853733204.541316,-67156292.9833832,-2866416716.42923,422968937.746928,197
"1694",1694,NA,"128","Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",-4246562236.33084,24200582392.0183,28470654362.3273,-35371096643.3946,8824712742.28288,-6464583642.20993,197
"1695",1695,NA,"128","Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",147193459236.528,146364079453.287,159496936150.955,179939042638.061,179355937951.138,172954115873.26,197
"1696",1696,NA,"128","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, US Dollars","BFDAEO_BP6_USD",7007847590.80714,14105475097.6968,2839379804.52885,1969785645.43638,-10842112254.4163,5994909065.50489,197
"1697",1697,NA,"128","Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",36668765198.4283,32628018398.1102,37501358061.8388,42282555437.9235,44428330261.5896,43002827938.0595,197
"1698",1698,NA,"128","Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",28487740147.0043,26742362583.9786,28578137324.965,32609304599.5967,34648679013.1872,32941868465.6796,197
"1699",1699,NA,"128","Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",5729452003.85441,6416907634.66712,6861789922.9696,7459124792.18042,7963688615.99729,5747001598.6988,197
"1700",1700,NA,"128","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFDAE_BP6_USD",8361868055.32485,15239828125.538,6745371649.53716,6936644882.28569,-5179655543.76315,7708729166.85431,197
"1701",1701,NA,"128","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Debt Securities, US Dollars","BFPAD_BP6_USD",-11708214644.5753,-5041767284.60168,-6579640308.20085,4829531510.58774,17859705650.2582,7221133293.54729,197
"1702",1702,NA,"128","Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",23896149733.9927,24337867667.1631,26883980273.1627,25793176081.1698,30678361164.0467,28633018100.1611,197
"1703",1703,NA,"128","Supplementary Items, Reserve Position in the Fund (with Fund Record), US Dollars","BFRAIMFFR_BP6_USD",-227674943.786334,-416397191.803899,-19615955.9992876,265634418.027846,96918647.6188511,400349858.358074,197
"1704",1704,NA,"128","Financial Account, Portfolio Investment, Net Incurrence of Liabilities, Debt Securities, US Dollars","BFPLD_BP6_USD",9590610086.33964,10838042040.1891,7086716297.97124,-19817577023.5826,11911850842.4486,33723991557.1038,197
"1705",1705,NA,"128","Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",-3083699469.2102,1510075158.22181,2611119327.89499,-1148809929.11979,-3209278835.64811,-760435349.051091,197
"1706",1706,NA,"128","Capital Account, Total, Debit, US Dollars","BK_DB_BP6_USD",1273451209.17183,173364645.638403,131116192.848938,196479435.795606,338668353.774018,429748572.457999,197
"1707",1707,NA,"128","Capital Account, Total, Net, US Dollars","BK_BP6_USD",-1057253249.4999,25035167.0590479,150033324.717842,30990006.2166788,128066874.597703,-99416644.1752017,197
"1708",1708,NA,"128","Capital Account, Total, Credit, US Dollars","BK_CD_BP6_USD",216050068.331949,198248072.188289,281292529.128433,227464348.06594,466732009.795904,330331928.282797,197
"1709",1709,NA,"128","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars","BFDA_BP6_USD",7257350101.51415,17991642658.4714,9443880784.94588,6722598275.48478,6333612468.07673,9480718630.4855,197
"1710",1710,NA,"128","Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",167759798336.16,167287222886.155,183375497492.701,201744934156.01,205019079350.807,195876452228.316,197
"1711",1711,NA,"128","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFPAE_BP6_USD",3661370455.16326,9172699656.74051,20785990997.8898,17006672146.837,2859490716.04611,27849802507.7175,197
"1712",1712,NA,"128","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, US Dollars","BFPA_BP6_USD",-8046995251.56355,4130929640.90625,14206498541.9439,21836043666.0136,20718895275.5614,35070628115.8439,197
"1713",1713,NA,"128","Supplementary Items, Portfolio Investment, Net Incurrence of Liabilities (Excluding Exceptional Financing), US Dollars","BFPLXF_BP6_USD",8981225582.74035,15831966429.3079,12007823486.8965,-31001239800.3632,16694241738.8559,39009034161.6592,197
"1714",1714,NA,"128","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, US Dollars","BFOLNLO_BP6_USD",-977016488.377778,-599882773.373744,-964302280.793272,67055669.2060003,-2639114685.90505,460636310.870765,197
"1715",1715,NA,"128","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, US Dollars","BFOLNLG_BP6_USD",-571003.202176293,22777749.0506488,414059676.826797,-134375050.550978,-227916911.576766,558607061.732901,197
"1716",1716,NA,"128","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, Long-term, US Dollars","BFOLNLO_L_BP6_USD",-765518841.856183,-1021780964.81154,1060259841.68641,-4172848529.92395,755179473.016963,-298106932.750855,197
"1717",1717,NA,"128","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, Other Long-term, US Dollars","BFOLNLG_L_BP6_USD",0,0,0,0,0,0,197
"1718",1718,NA,"128","Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",23895999760.8647,24338020380.3372,26883980649.8008,25793341166.5272,30678662254.7897,28632713563.3369,197
"1719",1719,NA,"128","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, US Dollars","BFDLD_BP6_USD",-290848627.212231,-535385752.627002,-1058430640.25594,543360159.584068,6533028447.55294,422729135.790324,197
"1720",1720,NA,"128","Capital Account, Capital Transfers, Net, US Dollars","BKT_BP6_USD",NA,NA,NA,NA,NA,NA,197
"1721",1721,NA,"128","Capital Account, Capital Transfers, Credit, US Dollars","BKT_CD_BP6_USD",NA,NA,NA,NA,NA,NA,197
"1722",1722,"Djibouti","611","Capital Account, Capital Transfers, Net, US Dollars","BKT_BP6_USD",47681478.2721232,33873318.2910292,26125218.7417356,73491596.3785934,44125342.5312709,36630448.8496013,54
"1723",1723,NA,"611","Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",2980595334.24683,2847426376.48835,4306020582.11693,4188952353.60074,4763667490.05464,3424742925.08748,197
"1724",1724,NA,"611","Capital Account, Capital Transfers, Credit, US Dollars","BKT_CD_BP6_USD",47681478.2721232,33873318.2910292,26125218.7417356,71522217.4081847,42155963.5608623,38447904.2994356,197
"1725",1725,NA,"611","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, US Dollars","BFOLNLO_BP6_USD",376472110.78038,402552315.14565,267981836.699096,22400279.0891341,106509641.516759,258866425.464633,197
"1726",1726,NA,"611","Supplementary Items, Reserve Position in the Fund (with Fund Record), US Dollars","BFRAIMFFR_BP6_USD",0,5620385.35705368,0,28190.4070773216,0,0,197
"1727",1727,NA,"611","Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",433175502.03792,414461223.242531,620817370.341164,498247252.716336,531721068.416225,435009080.862701,197
"1728",1728,NA,"611","Capital Account, Total, Net, US Dollars","BK_BP6_USD",47681478.2721232,33873318.2910292,26125218.7417356,73491596.3785934,44125342.5312709,36630448.8496013,197
"1729",1729,NA,"611","Capital Account, Total, Credit, US Dollars","BK_CD_BP6_USD",47681478.2721232,33873318.2910292,26125218.7417356,71522217.4081847,42155963.5608623,38447904.2994356,197
"1730",1730,NA,"611","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, Other Long-term, US Dollars","BFOLNLG_L_BP6_USD",14196408.9781174,38976823.2229168,22895437.2302654,48598646.1926278,46550492.0634027,39151253.9317244,197
"1731",1731,NA,"611","Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",3525582232.82561,2703006397.66826,4146589316.9631,4563067954.82807,5149672801.75106,3694847410.64177,197
"1732",1732,NA,"611","Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",-389915839.996399,-432446520.107359,-294765812.706433,-75132347.8936085,-136357661.728214,-214363299.778867,197
"1733",1733,NA,"611","Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",761906114.653411,7814703.63161467,-106343560.268072,502114104.499316,608101406.136586,402988882.951714,197
"1734",1734,NA,"611","Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",-26287821.343389,41504494.0247118,158055361.598123,-110626134.746597,40057629.1031514,184077476.94918,197
"1735",1735,NA,"611","Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",496834926.6547,525970481.822632,537584190.950985,555511166.378762,615475942.629177,510856773.632079,197
"1736",1736,NA,"611","Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",60416045.3744915,91683031.2681112,121478047.051277,131149262.045566,133702319.928427,118521727.876841,197
"1737",1737,NA,"611","Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",761906114.653412,7814703.63161472,-106343560.268072,502114104.499319,608101406.136585,402988882.951714,197
"1738",1738,NA,"611","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",388444545.101592,439061551.533021,287938032.083997,68184660.2258596,148142312.951199,296520951.378847,197
"1739",1739,NA,"611","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, US Dollars","BFOLNLG_BP6_USD",14196408.9781174,38976823.2229168,22895437.2302654,48598646.1926278,46550492.0634027,39151253.9317244,197
"1740",1740,NA,"611","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, Long-term, US Dollars","BFOLNLO_L_BP6_USD",376472110.78038,402552315.14565,267981836.699096,22400279.0891341,106509641.516759,258866425.464633,197
"1741",1741,NA,"611","Capital Account, Total, Debit, US Dollars","BK_DB_BP6_USD",NA,NA,NA,-1969378.97040867,-1969378.97040867,1817455.44983429,197
"1742",1742,NA,"611","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFPAE_BP6_USD",10557559.320508,-9253830.44209744,276613.343386544,187034.734218241,11524130.5191846,9757428.77881623,197
"1743",1743,NA,"611","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, US Dollars","BFPA_BP6_USD",10557559.320508,-9253830.44209744,276613.343386544,187034.734218241,11524130.5191846,9757428.77881623,197
"1744",1744,NA,"611","Financial Account, Other Investment, Loans, Net Acquisition of Financial Assets, US Dollars","BFOLNA_BP6_USD",-1471294.89480703,6615031.42566157,-6827780.62243629,-6947687.66774889,11784651.2229843,82157651.5999797,197
"1745",1745,NA,"611","Supplementary Items, Portfolio Investment, Net Incurrence of Liabilities (Excluding Exceptional Financing), US Dollars","BFPLXF_BP6_USD",0,0,0,0,-9.09494701772928e-13,219478283.376753,197
"1746",1746,"Dominica","321","Financial Account, Portfolio Investment, Net Incurrence of Liabilities, Debt Securities, US Dollars","BFPLD_BP6_USD",1720458.96666667,-1956800.15925926,-2405593.07407407,-1587074.55555556,-2785088.62962963,7381962.88888889,55
"1747",1747,NA,"321","Capital Account, Capital Transfers, Net, US Dollars","BKT_BP6_USD",55214280.0296296,146956894.642719,366354145.020467,147218157.094084,59787401.8148148,102044338.740741,197
"1748",1748,NA,"321","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, Long-term, US Dollars","BFOLNLO_L_BP6_USD",239619.703703704,180405.32962963,2295929.19259259,8130829.58148148,5209397.56296296,-201052.977777778,197
"1749",1749,NA,"321","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, US Dollars","BFOLNLG_BP6_USD",6974556.07407407,-12351057.2962963,-7241075.51851852,-13559744.037037,-9522890.40740741,42645758.7185185,197
"1750",1750,NA,"321","Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",9941449.78093741,12939114.50353,-9992031.36869222,621990.917672793,15686416.5816759,-4721249.26723196,197
"1751",1751,NA,"321","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Debt Securities, US Dollars","BFPAD_BP6_USD",-25997777.2592593,-14606859.4814815,3363382.51851852,502187.203703707,3448470.98,-534860.296296296,197
"1752",1752,NA,"321","Capital Account, Total, Credit, US Dollars","BK_CD_BP6_USD",55214280.0296296,146956894.642719,366354145.020467,147218157.094084,59787401.8148148,102044338.740741,197
"1753",1753,NA,"321","Capital Account, Total, Debit, US Dollars","BK_DB_BP6_USD",0,0,0,0,0,0,197
"1754",1754,NA,"321","Capital Account, Total, Net, US Dollars","BK_BP6_USD",55214280.0296296,146956894.642719,366354145.020467,147218157.094084,59787401.8148148,102044338.740741,197
"1755",1755,NA,"321","Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",268226050.689952,269649442.948984,217536249.507622,156550657.769631,211175033.061927,95366374.6410396,197
"1756",1756,NA,"321","Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",326494116.659552,329423042.735008,319925536.225808,420177115.38817,426026531.222452,303326005.629262,197
"1757",1757,NA,"321","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, US Dollars","BFDLD_BP6_USD",-6838423.1037037,-413496.092592593,15416322.2037037,292245.207407408,-2066045.59259259,-120166.903703704,197
"1758",1758,NA,"321","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, Other Long-term, US Dollars","BFOLNLG_L_BP6_USD",495180.62962963,-10795456.9259259,-6055341.85185185,-12043893.8518519,-8043798.85185185,29734762.4592593,197
"1759",1759,NA,"321","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, US Dollars","BFOLNLO_BP6_USD",239619.703703704,211335.32962963,2264999.19259259,8130829.58148148,5209397.56296296,-201052.977777778,197
"1760",1760,NA,"321","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",12697042.5925926,-24645225.9666667,517474.674074074,-10400233.4555556,-11365372.8444444,42444705.7407407,197
"1761",1761,NA,"321","Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",-5706853.52962963,38400678.2481481,25861355.2888889,7847587.9,4051596.91851852,-49475342.3333333,197
"1762",1762,NA,"321","Financial Account, Other Investment, Loans, Net Acquisition of Financial Assets, US Dollars","BFOLNA_BP6_USD",6990189.06296296,13755452.2814815,26378829.962963,-2552645.55555556,-7313775.92592593,-7030636.59259259,197
"1763",1763,NA,"321","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFPAE_BP6_USD",-1779692.22222222,0,0,0,-706924.814814815,-2415097.77777778,197
"1764",1764,NA,"321","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, US Dollars","BFPA_BP6_USD",-27777469.4814815,-14606859.4814815,3363382.51851852,502187.203703707,2741546.16518519,-2949958.07407407,197
"1765",1765,NA,"321","Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",131801.307407407,6570.23703703704,5730.23703703704,2596.16296296296,10876.4814814815,69259.2592592593,197
"1766",1766,NA,"321","Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",30049429.2074271,102763622.155484,320113892.669541,-94999261.6811804,-157668549.879145,-76655879.8841237,197
"1767",1767,NA,"321","Supplementary Items, Portfolio Investment, Net Incurrence of Liabilities (Excluding Exceptional Financing), US Dollars","BFPLXF_BP6_USD",1720458.96666667,-1956800.15925926,-2405593.07407407,-1587074.55555556,-2785088.62962963,7381962.88888889,197
"1768",1768,NA,"321","Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",24826310.1422687,95725218.782221,-9679480.62349061,-20955615.3007488,-36187958.6584666,10642253.8936577,197
"1769",1769,NA,"321","Supplementary Items, Reserve Position in the Fund (with Fund Record), US Dollars","BFRAIMFFR_BP6_USD",0,0,0,0,0,0,197
"1770",1770,NA,"321","Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",30049429.2074271,102763622.155484,320113892.66954,-94999261.6811802,-157668549.879145,-76655879.8841236,197
"1771",1771,NA,"321","Capital Account, Capital Transfers, Credit, US Dollars","BKT_CD_BP6_USD",55214280.0296296,146956894.642719,366354145.020467,147218157.094084,59787401.8148148,102044338.740741,197
"1772",1772,NA,"321","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFDAE_BP6_USD",-5752358.88888889,53439.2592592593,46400.3703703704,55680.4444444444,54136,-389763.111111111,197
"1773",1773,NA,"321","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars","BFDA_BP6_USD",-11504216.7407407,882692.259259259,-1063626.62962963,55680.4444444444,54136,-386517.562962963,197
"1774",1774,NA,"321","Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",723170.849259259,780955.585185185,836029.137037037,1523536.10158519,1679356.3919505,782743.833885915,197
"1775",1775,NA,"321","Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",34067786.9179738,31439080.2350054,28741025.9948973,39261529.9148148,42932577.7941367,23826972.1595208,197
"1776",1776,NA,"321","Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, US Dollars","BFDAEO_BP6_USD",-5752358.88888889,53439.2592592593,46400.3703703704,55680.4444444444,54136,-389763.111111111,197
"1777",1777,"Dominican Rep.","243","Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",0,0,0,0,0,0,56
"1778",1778,NA,"243","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFPAE_BP6_USD",-6e+05,-5e+05,0,1e+05,2e+05,2e+05,197
"1779",1779,NA,"243","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, US Dollars","BFPA_BP6_USD",36600000,71400000,-156200000,-15200000,7800000,-58800000,197
"1780",1780,NA,"243","Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",16983600000,18148800000,18991400000,20051700000,20509200000,14889400000,197
"1781",1781,NA,"243","Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",20080500000,20768200000,21041300000,24114400000,2.4526e+10,20301900000,197
"1782",1782,NA,"243","Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",808699999.999998,-812700000.000002,-131599999.999999,-1319300000,-1186500000,-1336300000,197
"1783",1783,NA,"243","Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",2336300000,2439500000,2724500000,2.761e+09,2860700000,2.442e+09,197
"1784",1784,NA,"243","Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Debt Securities, US Dollars","BFPAD_BP6_USD",37200000,71900000,-156200000,-15300000,7600000,-5.9e+07,197
"1785",1785,NA,"243","Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",547700000,5.81e+08,609600000,645500000,671700000,341200000,197
"1786",1786,NA,"243","Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",1550400000,1.626e+09,1571100000,1646300000,1703900000,1408300000,197
"1787",1787,NA,"243","Financial Account, Other Investment, Loans, Net Acquisition of Financial Assets, US Dollars","BFOLNA_BP6_USD",3e+05,-5e+05,2900000,1e+06,1500000,-4200000,197
"1788",1788,NA,"243","Capital Account, Capital Transfers, Net, US Dollars","BKT_BP6_USD",2.089e+09,2e+06,1500000,2200000,1400000,1e+06,197
"1789",1789,NA,"243","Capital Account, Total, Credit, US Dollars","BK_CD_BP6_USD",2.089e+09,2e+06,1500000,2200000,1400000,1e+06,197
"1790",1790,NA,"243","Capital Account, Total, Net, US Dollars","BK_BP6_USD",2.089e+09,2e+06,1500000,2200000,1400000,1e+06,197
"1791",1791,NA,"243","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, US Dollars","BFOLNLO_BP6_USD",-941600000,-893800000,-918100000,-3800000,-327700000,-444300000,197
"1792",1792,NA,"243","Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",-4259900000,-745100000,-1378600000,-388400000,-149200000,3.87e+08,197
