"X.1","X","Country","Code","Indicator","Icode","X2015","X2016","X2017","X2018","X2019","X2020"
54,233,"Antigua and Barbuda",311,"Financial_Loans_Total","BFOLN_BP6_USD",-22602585.71,33841542.89,437897.2815,25407641.32,51590801.11,-29700361.91
55,244,"Argentina",213,"Financial_Loans_Total","BFOLN_BP6_USD",-9474698295,3065190373,-7641974415,-41051255759,-11898962921,3942475674
56,245,"Argentina",213,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",9160025407,-2539180609,7738745879,41086275478,11605018405,-3846243886
57,247,"Argentina",213,"Current_Account_Debit","BMGS_BP6_USD",76622786929,75420138819,89310577214,86821661280,66573932489,52342831895
58,251,"Argentina",213,"Current_Account_Credit","BXGS_BP6_USD",70022565843,71384640575,74168075514,77143165816,79964482529,64437247306
59,254,"Argentina",213,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",-4905102921,14324709801,14532078459,11264436469,-21367303426,-6912917525
60,265,"Argentina",213,"Transport_Services_Credit","BXSTR_BP6_USD",2329777788,2022379929,1926821958,1935962614,1920954297,1250221586
61,266,"Argentina",213,"Transport_Services_Debit","BMSTR_BP6_USD",4484853102,4560994549,5178759701,4911622609,3890376977,2113563619
62,269,"Argentina",213,"Supplementary_Current_Capital","BTCC_BP6_USD",-17570055968,-14738971940,-30978306468,-26972530933,-3208532281,2853124479
63,270,"Argentina",213,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",-17570055968,-14738971940,-30978306468,-26972530933,-3208532281,2853124479
64,275,"Armenia, Rep. of",911,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",303313483.6,517356329.7,412610303.5,150937186.6,454856078.6,577992617.6
65,278,"Armenia, Rep. of",911,"Transport_Services_Debit","BMSTR_BP6_USD",360993766.9,367751616.3,433791351.9,555734207.1,648401952.8,413946101.4
66,280,"Armenia, Rep. of",911,"Financial_Loans_Total","BFOLN_BP6_USD",-221350377.1,-62604636.6,-580774525.1,-71069829.72,-423887936.5,-709884350.9
67,283,"Armenia, Rep. of",911,"Transport_Services_Credit","BXSTR_BP6_USD",163501698.9,188695700.1,231566845.1,256331464.6,275403180.8,232391841.7
68,285,"Armenia, Rep. of",911,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",332514305.4,454587352.7,49782102.86,-36440762.26,591963095.5,-277590501.1
69,290,"Armenia, Rep. of",911,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",-215634201.4,-66011589.41,-89548549.74,-825471759.8,-894803181.6,-325971769
70,292,"Armenia, Rep. of",911,"Current_Account_Credit","BXGS_BP6_USD",3137698940,3564513097,4410411870,4927027295,5794425537,3818190455
71,299,"Armenia, Rep. of",911,"Current_Account_Debit","BMGS_BP6_USD",4419193791,4470358659,5653962634,6679769678,7603409296,5082296668
72,302,"Armenia, Rep. of",911,"Supplementary_Current_Capital","BTCC_BP6_USD",-215634201.4,-66011589.41,-89548549.74,-825471759.8,-894803181.6,-325971769
73,307,"Aruba, Kingdom of the Netherlands",314,"Current_Account_Debit","BMGS_BP6_USD",2132591430,2010737226,2038205648,2269860628,2240027486,1644444118
74,313,"Aruba, Kingdom of the Netherlands",314,"Transport_Services_Credit","BXSTR_BP6_USD",115153473.2,114974631.3,130498998.6,138836497,124086706.7,51764068.28
75,315,"Aruba, Kingdom of the Netherlands",314,"Transport_Services_Debit","BMSTR_BP6_USD",114977756.4,106971136.4,111645331.7,137469704,138551384.3,96020537.81
76,321,"Aruba, Kingdom of the Netherlands",314,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",110690101.7,135986923.9,29520988.72,-14836321.68,86321321.05,-304252750.9
77,327,"Aruba, Kingdom of the Netherlands",314,"Supplementary_Current_Capital","BTCC_BP6_USD",110690101.7,135986923.9,29520988.72,-14836321.68,86321321.05,-304252750.9
78,333,"Aruba, Kingdom of the Netherlands",314,"Current_Account_Credit","BXGS_BP6_USD",2437130636,2344277793,2305572784,2557265559,2561691720,1443955668
79,341,"Aruba, Kingdom of the Netherlands",314,"Financial_Loans_Total","BFOLN_BP6_USD",-39260050.28,-42751063.56,16533728.86,-20322867.27,-127836451.4,-241220336
80,345,"Aruba, Kingdom of the Netherlands",314,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",40670391.06,21422487.13,-22367232.33,1271900.825,148514630.6,252452763.9
81,353,"Aruba, Kingdom of the Netherlands",314,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",145586592.2,97986033.52,-28810614.53,71667597.77,-36468156.42,188374860.3
82,363,"Australia",193,"Transport_Services_Debit","BMSTR_BP6_USD",13351486437,12232520792,12633638821,13803823630,13034925239,9227799014
83,364,"Australia",193,"Transport_Services_Credit","BXSTR_BP6_USD",5078180091,5386144003,5820284847,5643754054,5516841793,3206435655
