,Country,CURRENT_ACCOUNT_NET,FINANCIAL_LOANS,Net_Lending_Borrowing_Balance,SUPPLEMENTARY_NET,TRANSPORT_SERVICES_NET
145,St. Vincent and the Grenadines,126633325,-98662,-65486702,-58278974,40210176
146,Sudan,4278493972,0,-4568601489,-4568152853,488021497
147,Suriname,106170828,16368649,-285485933,-330760167,45480743
148,Sweden,-17660200000,9854935413,16676429338,16507751111,1239343433
149,Switzerland,-64490400000,970313241,38443315517,92168676638,-1846317958
150,"São Tomé and Príncipe, Dem. Rep. of",100259283,-6832372,-46432045,-52752839,22490509
151,"Tajikistan, Rep. of",2087417269,7750,-74017205,27424243,154209982
152,"Tanzania, United Rep. of",2131508889,30521031,-2125110025,-1837727974,-355055719
153,Thailand,-50115400000,563167970,36234484405,49335743526,10429802934
154,"Timor-Leste, Dem. Rep. of",1034036249,1715661,-106845040,-19095159,66489285
155,Togo,692755847,30642064,32180314,163216614,66149823
156,Tonga,196637767,-121475,9958256,27799227,14271268
157,Trinidad and Tobago,-1431744650,70220549,1070023091,162504193,359157803
158,Tunisia,4859710694,0,-3833654538,-3393939299,363607784
159,Tuvalu,53094659,0,17017238,22504055,7912265
160,"Türkiye, Rep. of",11432600000,408000000,-20494600000,-25150449467,-14015800000
161,Uganda,2571134199,13825662,-1606829274,-1588230755,1103718621
162,Ukraine,8289600000,-8600000,-2048200000,1472044625,-3610200000
163,United Kingdom,46071400000,37405391495,-121083452963,-106950352126,-3133783931
164,United States,525032000000,38548600000,-413349000000,-412595907488,16318000000
165,Uruguay,-3155973052,-119237345,134702603,-446981947,573156670
166,"Uzbekistan, Rep. of",5936380571,-806386,-773444645,-702023653,777801613
167,Vanuatu,143141796,2297023,87309793,160366116,51240545
168,West Bank and Gaza,5992162594,37647366,-1558982371,-1563998501,324145885
169,Zambia,158885303,107237203,-400213260,-695033430,796690939
170,Zimbabwe,1911383523,5000000,-322823559,-340360230,219890680
